Entity,Code,Year,Fixed broadband subscriptions (per 100 people)
Canada,CAN,2000,4.612639904022220
Canada,CAN,2001,9.183916091918950
Canada,CAN,2002,11.273880004882800
Canada,CAN,2003,14.332422256469700
Canada,CAN,2004,17.023151397705100
Canada,CAN,2005,21.77569007873540
Canada,CAN,2006,24.722633361816400
Canada,CAN,2007,27.55877113342290
Canada,CAN,2008,29.523096084594700
Canada,CAN,2009,30.49241828918460
Canada,CAN,2010,31.67752456665040
Canada,CAN,2011,32.66604995727540
Canada,CAN,2012,33.474327087402300
Canada,CAN,2013,34.26530075073240
Canada,CAN,2014,35.23968505859380
Canada,CAN,2015,36.404624938964800
Canada,CAN,2016,36.79332733154300
Canada,CAN,2017,37.9063720703125
Canada,CAN,2018,38.96365737915040
Canada,CAN,2019,40.47514343261720
Canada,CAN,2020,41.931400299072300
United States,USA,2000,2.509620189666750
United States,USA,2001,4.4948883056640600
United States,USA,2002,6.920633792877200
United States,USA,2003,9.573102951049810
United States,USA,2004,12.776440620422400
United States,USA,2005,17.341516494751000
United States,USA,2006,20.230356216430700
United States,USA,2007,23.852956771850600
United States,USA,2008,25.41468048095700
United States,USA,2009,26.114927291870100
United States,USA,2010,27.35238265991210
United States,USA,2011,28.344518661499000
United States,USA,2012,29.458940505981400
United States,USA,2013,30.351402282714800
United States,USA,2014,30.6928653717041
United States,USA,2015,31.85382080078130
United States,USA,2016,32.7271728515625
United States,USA,2017,33.283626556396500
United States,USA,2018,33.86036682128910
United States,USA,2019,34.72536849975590
United States,USA,2020,36.608768463134800
Mexico,MEX,2000,0.01516685914248230
Mexico,MEX,2001,0.04985136538743970
Mexico,MEX,2002,0.22765064239502000
Mexico,MEX,2003,0.4155672788620000
Mexico,MEX,2004,1.011608600616460
Mexico,MEX,2005,1.813450574874880
Mexico,MEX,2006,2.8077311515808100
Mexico,MEX,2007,4.126043319702150
Mexico,MEX,2008,6.797468185424810
Mexico,MEX,2009,8.572678565979000
Mexico,MEX,2010,9.275650978088380
Mexico,MEX,2011,9.996994018554690
Mexico,MEX,2012,11.151029586792000
Mexico,MEX,2013,10.728079795837400
Mexico,MEX,2014,10.828387260437000
Mexico,MEX,2015,12.110533714294400
Mexico,MEX,2016,12.911323547363300
Mexico,MEX,2017,13.624656677246100
Mexico,MEX,2018,14.548542022705100
Mexico,MEX,2019,15.169880867004400
Mexico,MEX,2020,17.013622283935500
Greenland,GRL,2003,0.20984692871570600
Greenland,GRL,2004,5.838799953460690
Greenland,GRL,2005,12.516022682189900
Greenland,GRL,2006,16.176651000976600
Greenland,GRL,2007,18.527236938476600
Greenland,GRL,2008,21.13439178466800
Greenland,GRL,2009,22.105485916137700
Greenland,GRL,2010,21.87577247619630
Greenland,GRL,2011,21.02666664123540
Greenland,GRL,2012,20.152294158935500
Greenland,GRL,2013,19.144184112548800
Greenland,GRL,2014,18.44593048095700
Greenland,GRL,2015,17.737730026245100
Greenland,GRL,2017,21.274410247802700
Greenland,GRL,2018,23.322254180908200
Greenland,GRL,2019,25.416431427002000
Greenland,GRL,2020,27.565614700317400