Entity,Code,Year,Mobile cellular subscriptions (per 100 people)
Canada,CAN,2000,28.530439376831100
Canada,CAN,2001,34.485023498535200
Canada,CAN,2002,38.07781219482420
Canada,CAN,2003,42.20966720581060
Canada,CAN,2004,47.20970153808590
Canada,CAN,2005,52.90522384643560
Canada,CAN,2006,57.623958587646500
Canada,CAN,2007,61.575801849365200
Canada,CAN,2008,66.2689437866211
Canada,CAN,2009,70.56194305419920
Canada,CAN,2010,75.62882232666020
Canada,CAN,2011,77.70890045166020
Canada,CAN,2012,79.3768310546875
Canada,CAN,2013,80.34784698486330
Canada,CAN,2014,80.72209167480470
Canada,CAN,2015,82.61933135986330
Canada,CAN,2016,84.52312469482420
Canada,CAN,2017,86.281494140625
Canada,CAN,2018,89.57894134521480
Canada,CAN,2019,91.86310577392580
Canada,CAN,2020,85.73967742919920
United States,USA,2000,38.86183547973630
United States,USA,2001,45.14982223510740
United States,USA,2002,49.35962677001950
United States,USA,2003,55.42731857299810
United States,USA,2004,63.2173957824707
United States,USA,2005,69.0523681640625
United States,USA,2006,77.10934448242190
United States,USA,2007,82.93180847167970
United States,USA,2008,86.09951782226560
United States,USA,2009,89.54496002197270
United States,USA,2010,92.26776885986330
United States,USA,2011,95.44904327392580
United States,USA,2012,97.06859588623050
United States,USA,2013,98.19768524169920
United States,USA,2014,111.55621337890600
United States,USA,2015,119.1439208984380
United States,USA,2016,122.59455108642600
United States,USA,2017,123.04483795166000
United States,USA,2018,106.46468353271500
United States,USA,2019,108.0926513671880
United States,USA,2020,106.18555450439500
Mexico,MEX,2000,14.234481811523400
Mexico,MEX,2001,21.692880630493200
Mexico,MEX,2002,25.498674392700200
Mexico,MEX,2003,29.198101043701200
Mexico,MEX,2004,36.79008865356450
Mexico,MEX,2005,44.458900451660200
Mexico,MEX,2006,51.5018424987793
Mexico,MEX,2007,60.96835708618160
Mexico,MEX,2008,67.95405578613280
Mexico,MEX,2009,73.97358703613280
Mexico,MEX,2010,80.09564208984380
Mexico,MEX,2011,81.75190734863280
Mexico,MEX,2012,85.89038848876950
Mexico,MEX,2013,89.83415222167970
Mexico,MEX,2014,87.19889068603520
Mexico,MEX,2015,88.37175750732420
Mexico,MEX,2016,90.59237670898440
Mexico,MEX,2017,91.626708984375
Mexico,MEX,2018,95.22511291503910
Mexico,MEX,2019,95.65721130371090
Mexico,MEX,2020,95.31976318359380
Greenland,GRL,2000,26.90520668029790
Greenland,GRL,2001,28.196069717407200
Greenland,GRL,2002,35.25248718261720
Greenland,GRL,2003,52.45996856689450
Greenland,GRL,2004,68.64634704589840
Greenland,GRL,2005,81.61402130126950
Greenland,GRL,2006,94.60953521728520
Greenland,GRL,2007,116.64060974121100
Greenland,GRL,2008,98.19672393798830
Greenland,GRL,2009,94.25328063964840
Greenland,GRL,2010,101.25534057617200
Greenland,GRL,2011,103.87254333496100
Greenland,GRL,2012,105.28599548339800
Greenland,GRL,2013,107.06562042236300
Greenland,GRL,2014,107.8377456665040
Greenland,GRL,2015,108.20014953613300
Greenland,GRL,2017,110.3379898071290
Greenland,GRL,2018,108.53900146484400
Greenland,GRL,2019,108.79446411132800
Greenland,GRL,2020,116.18460083007800